plz,einwohner,qkm,lat,lon
01,1227440,5097.945248,51.17481,13.73741
02,445361,3477.346094,51.20891,14.63930
03,304953,3113.669727,51.78107,14.23260
04,1200630,6206.356892,51.34772,12.69686
06,1334552,9343.259491,51.49139,11.58270
07,589382,4037.290153,50.73094,11.72168
08,623419,2678.264626,50.54055,12.42974
09,803121,3344.988110,50.75597,13.10751
10,965147,105.080915,52.50952,13.41680
12,1192884,428.949534,52.44254,13.52022
13,916519,297.989183,52.58712,13.37765
14,904862,6173.514523,52.31497,12.81137
15,615348,7087.711890,52.24402,14.00395
16,590987,8376.774508,52.95878,13.12756
17,602164,12063.134662,53.59043,13.36191
18,616740,6101.346003,54.02589,12.09526
19,403321,7117.722262,53.36368,11.38087
20,236777,52.189293,53.55075,10.01338
21,1124499,5094.353272,53.45529,10.00199
22,1405023,897.422570,53.62971,10.19575
23,726276,4515.293424,53.95230,10.66926
24,1094377,6030.511853,54.31159,9.97852
25,692038,5339.489834,54.32340,8.93143
26,1160432,7021.448599,53.29254,7.86089
27,839967,6704.388326,53.21151,9.35673
28,731251,1079.388459,53.09407,8.91122
29,518891,7347.392379,52.86820,10.35688
30,875380,1166.835987,52.40436,9.70472
31,1020502,5468.101785,52.32610,10.08654
32,885621,2778.862218,52.15769,8.74466
33,1057203,2988.051337,51.79111,8.60673
34,801537,4834.819093,51.21810,9.26656
35,899422,4606.510942,50.80087,8.61066
36,537746,4728.357201,50.67217,9.65568
37,743468,5658.319861,51.51818,10.08607
38,1157581,5856.359253,52.20007,10.63917
39,792462,9020.377009,52.39396,11.65772
40,960963,529.341919,51.21832,6.85488
41,931381,1339.135320,51.17651,6.47301
42,867220,710.293718,51.22300,7.19757
44,1249853,588.573928,51.53165,7.38442
45,1540441,1063.785593,51.55805,7.06773
46,893142,1898.424275,51.72154,6.73328
47,1299902,1930.111248,51.54407,6.45480
48,1152659,4450.146877,52.12584,7.28626
49,1196445,7716.708009,52.52698,7.85093
50,1099193,940.465885,50.90110,6.75312
51,989687,1544.495380,50.96282,7.38913
52,920234,1971.120534,50.80825,6.36593
53,1229928,3409.188222,50.60645,7.01187
54,502465,4709.421073,49.95311,6.62977
55,788382,3166.724031,49.84316,7.81266
56,845302,4175.938923,50.30379,7.48738
57,597413,2952.072209,50.93445,8.13449
58,937755,1647.169356,51.30127,7.58904
59,1135736,4304.826021,51.50865,8.19989
60,564343,210.673541,50.12081,8.68516
61,435320,994.650887,50.30129,8.62175
63,1229790,3343.929553,50.06154,9.03295
64,771069,2003.806049,49.74849,8.80371
65,1042972,2030.484935,50.20892,8.14461
66,1257217,4027.218685,49.34506,7.11939
67,1012357,3217.159126,49.51237,8.01511
68,576523,638.411540,49.46181,8.54783
69,489925,1007.607542,49.42809,8.86510
70,777902,355.463561,48.75407,9.16624
71,954562,1624.159665,48.81849,8.95762
72,1026956,4411.835522,48.32600,9.07516
73,977995,2834.881226,48.78658,9.79209
74,1028896,4883.652272,49.28298,9.47456
75,466524,1419.109904,48.90455,8.72399
76,1100728,2888.779859,48.96021,8.37999
77,468547,2144.996539,48.50063,8.00933
78,718046,3151.555517,47.99188,8.62686
79,996290,4146.495031,47.89658,7.99349
80,615309,134.962225,48.18328,11.53469
81,733094,175.939094,48.12220,11.63142
82,697812,3334.784334,47.84502,11.24908
83,732871,5560.460309,47.84128,12.25799
84,657374,5133.071853,48.43291,12.58010
85,1037700,4391.863816,48.48429,11.66098
86,1116082,6083.262672,48.34551,10.84221
87,508153,3880.872349,47.74757,10.42595
88,820517,4845.771272,47.91116,9.60537
89,741259,3543.194160,48.44779,10.11546
90,856253,1245.425671,49.40596,11.02158
91,980469,7157.037049,49.36045,10.39366
92,513416,5345.149354,49.42697,12.05102
93,568158,4086.332018,49.09488,12.14462
94,693171,6228.820970,48.72544,13.17395
95,507094,4062.347990,50.08924,11.78687
96,562792,3885.104142,50.11367,10.97618
97,1058143,8214.497527,49.95821,10.07968
98,303762,2816.675504,50.52764,10.71719
99,947397,6532.385342,51.16254,10.84085
