plz,einwohner,qkm,lat,lon
258,110073,1468.586084,54.55044,9.12192
259,56357,672.570467,54.87719,8.82292
261,262062,893.029787,53.12932,8.07435
262,52417,428.411692,53.03682,8.17614
263,127756,478.641404,53.37915,8.08900
264,106272,962.067403,53.53866,7.84632
265,75700,504.050858,53.57101,7.28336
266,168567,1239.897991,53.29099,7.85850
267,108810,419.298096,53.43359,7.14276
268,171651,1221.309347,53.13133,7.41101
269,87197,874.742021,53.38583,8.39910
272,112598,1182.433335,52.77468,8.70807
273,147104,1773.449799,52.98686,9.47899
274,144347,1455.132432,53.36920,9.16043
275,108055,79.155691,53.53919,8.60910
276,102719,1180.257663,53.55086,8.81172
277,204869,810.573447,53.06832,8.52713
278,20275,223.385959,53.16353,8.50496
281,44002,42.136259,53.08246,8.73944
282,260250,90.940072,53.05428,8.73877
283,141878,112.659499,53.08766,8.91655
287,116153,204.658656,53.23907,8.58998
288,168968,628.993973,53.03881,9.08539
292,69081,182.030784,52.64516,10.08797
293,147138,2196.109472,52.71238,10.49804
294,80378,1804.277384,52.97560,11.17048
295,88867,1375.474932,53.00423,10.55233
296,133427,1789.499807,52.90945,9.78140
301,177626,39.557353,52.38612,9.74257
304,156264,56.483805,52.37314,9.68882
305,72785,52.423194,52.34739,9.81811
306,99875,60.132174,52.40623,9.84838
308,182304,283.667669,52.45225,9.63912
309,186526,674.571792,52.52722,9.78359
310,76623,585.042802,52.02640,9.77825
311,219163,791.682987,52.11220,10.02415
312,134415,495.313855,52.33134,10.18869
313,71888,354.451570,52.46683,10.11493
315,173027,968.810411,52.47089,9.31731
316,118352,1064.485710,52.30528,9.13847
317,106389,367.055865,52.10960,9.36277
318,120645,841.258585,52.10748,9.52399
320,65361,79.799397,52.11353,8.65703
321,107554,205.354484,52.14461,8.54962
322,71565,129.219623,52.21448,8.55629
323,93178,522.649823,52.39547,8.52726
324,158244,521.453365,52.34058,8.86089
325,88538,124.240875,52.21311,8.75802
326,127397,624.095405,52.08244,9.01322
327,108782,205.312239,51.94525,8.84483
328,65002,366.737007,51.89791,9.08052
330,65767,375.444975,51.74377,9.13268
331,280296,1315.744312,51.66480,8.76879
333,169534,308.947083,51.84730,8.36966
334,72834,289.237446,51.87880,8.52431
336,267282,190.371946,51.99390,8.54848
337,128452,290.920846,52.04466,8.25448
338,73038,217.384729,51.98037,8.68726
341,190758,107.865039,51.31305,9.44931
342,168819,560.022604,51.12732,9.64260
343,138800,1166.148765,51.47638,9.43407
344,134046,1244.917148,51.43600,8.97371
345,118437,1235.819340,51.11167,9.23385
346,50677,520.046197,50.90131,9.30644
350,159149,754.008419,50.83306,8.73053
351,36963,550.044006,50.71822,8.62815
352,98049,657.302003,50.87208,8.98312
353,121517,553.292136,50.62989,9.00631
354,153066,595.235848,50.56259,8.83653
355,84656,229.887952,50.42729,8.69386
356,115007,506.910117,50.56968,8.38826
357,131015,759.830461,50.62589,8.23623
360,96436,253.888883,50.61818,9.66029
361,157051,1482.953389,50.58382,9.87847
362,101687,1023.550811,50.92877,9.61130
363,104464,1271.611050,50.52899,9.35919
364,78108,696.353068,50.74573,10.07929
370,115865,117.258978,51.53693,9.92605
371,170732,1420.221639,51.58078,9.80715
372,94580,912.976088,51.20716,9.89216
373,102407,942.807257,51.39157,10.23245
374,54481,486.575734,51.65888,10.44848
375,91640,872.973820,51.80761,9.87501
376,113763,905.506345,51.82741,9.40990
381,335282,848.073423,52.21685,10.73787
382,122595,372.457220,52.12476,10.31448
383,129502,667.389063,52.09699,10.58849
384,170391,1126.416430,52.55302,10.95763
385,111207,569.974263,52.46420,10.51172
386,98415,443.395471,51.88585,10.46339
387,40144,450.358769,51.92512,10.18785
388,150045,1378.294614,51.83486,10.82320
391,280912,660.127058,52.09974,11.50186
392,136235,1775.365732,52.10499,12.03680
393,155980,2326.109055,52.40775,12.13046
394,51632,405.333361,51.87647,11.51877
395,87961,1479.559489,52.61204,11.97607
396,79742,2373.882314,52.70521,11.46632
402,225523,42.671508,51.21617,6.78390
404,146508,78.701753,51.29036,6.76063
405,156421,55.745709,51.16666,6.84808
406,155945,129.404012,51.28511,6.64857
407,151516,92.539166,51.13135,6.95760
408,125050,130.279771,51.29449,6.89290
410,116655,49.784494,51.20640,6.42863
411,62448,89.374193,51.15786,6.35332
412,76195,31.290227,51.16515,6.46279
413,145242,387.435612,51.26646,6.19226
414,150586,99.516698,51.17626,6.71021
415,178411,285.303625,51.08892,6.69145
417,75005,91.106083,51.26937,6.34221
418,126839,305.324388,51.08866,6.26664
421,121170,43.202533,51.27156,7.11499
422,124397,41.526509,51.26998,7.19531
423,97728,86.337399,51.21831,7.15406
424,58937,136.676939,51.29013,7.04522
425,106977,102.923871,51.33705,7.03571
426,131089,80.674230,51.16715,7.05837
427,81387,70.263948,51.10975,7.06995
428,110535,73.948685,51.18452,7.22829
429,35000,74.739604,51.11296,7.22052
441,171139,50.550667,51.51450,7.47492
442,163741,90.327739,51.46273,7.46618
443,236493,139.800105,51.54114,7.57129
445,160868,110.893631,51.61557,7.51383
446,155043,51.388507,51.53828,7.21253
447,116405,50.090848,51.45965,7.21100
448,246164,95.522431,51.47730,7.29137
451,233333,65.557009,51.43584,7.00840
452,131919,84.150126,51.40467,7.06562
453,201204,60.616771,51.49075,6.97710
454,166948,91.253465,51.41126,6.88079
455,79991,119.572843,51.35992,7.23436
456,148496,85.380963,51.60054,7.20408
457,245562,416.422317,51.70420,7.18348
458,258891,104.917514,51.55623,7.08151
459,74097,35.914585,51.57813,6.97560
460,87235,21.590763,51.47254,6.85548
461,122361,55.497177,51.53269,6.83494
462,194438,271.754003,51.64862,6.97112
463,154095,499.907915,51.86138,6.88914
464,168581,599.040778,51.76069,6.55306
465,166432,450.633639,51.64071,6.79292
470,106343,36.302368,51.42124,6.77366
471,232276,108.595800,51.49605,6.73269
472,149760,87.891399,51.38511,6.74416
474,172603,206.006631,51.50778,6.54744
475,158975,573.998410,51.73955,6.18170
476,127091,567.724613,51.51688,6.33168
477,47216,5.101537,51.33611,6.56911
478,225935,200.375242,51.31398,6.58861
479,79703,144.115248,51.35121,6.39786
481,289790,303.146224,51.95013,7.61330
482,172507,664.862089,51.85218,7.26389
483,152387,928.544647,51.84607,7.74600
484,182432,975.743915,52.33150,7.33177
485,131108,340.134196,52.44370,7.10421
486,143870,756.983414,52.12988,7.08881
487,80565,480.732392,51.93406,7.03743
